sep=,
"type","message","id","userId","createdAt","_rid","_self","_etag","_attachments","_ts"
"1","/account-setup","ac58b45f-b819-4206-9a03-d0a0c10c3f0e","d3783880869743338e48c0694ca42fd9","2025-06-23T08:12:10.9006641Z","rdhqAIkad7RMAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RMAQAAAAAAAA==/","""270054c7-0000-1600-0000-68590c5a0000""","attachments/","1750666330"
"1","/account-setup","4b00f3dd-af88-4a3b-87c8-150b1b3a5f1e","d3783880869743338e48c0694ca42fd9","2025-06-23T08:12:37.2761505Z","rdhqAIkad7RNAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RNAQAAAAAAAA==/","""270098c7-0000-1600-0000-68590c750000""","attachments/","1750666357"
"1","/account-setup","764d697d-1b1d-4b26-8a6e-15e6fd756555","d3783880869743338e48c0694ca42fd9","2025-06-23T08:12:48.3938959Z","rdhqAIkad7ROAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7ROAQAAAAAAAA==/","""2700b7c7-0000-1600-0000-68590c800000""","attachments/","1750666368"
"1","/","2fee386c-650a-47e5-b52a-4695e7df59eb","d3783880869743338e48c0694ca42fd9","2025-06-23T08:13:00.1703Z","rdhqAIkad7RPAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RPAQAAAAAAAA==/","""2700dfc7-0000-1600-0000-68590c8c0000""","attachments/","1750666380"
"1","/metrics","627bf8fc-e2be-4915-a3d0-3bab56f98090","a31b03cff7ce4570a611100887b0c69f","2025-06-23T08:40:36.4757232Z","rdhqAIkad7RQAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RQAQAAAAAAAA==/","""270064d9-0000-1600-0000-685913040000""","attachments/","1750668036"
"1","/chat/e4e22a0f-ba1b-4799-bbce-fe453e78c46c","c5bb9604-232d-4969-990c-77bbb48a28f9","a31b03cff7ce4570a611100887b0c69f","2025-06-23T08:41:03.7287801Z","rdhqAIkad7RRAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RRAQAAAAAAAA==/","""27008ed9-0000-1600-0000-685913200000""","attachments/","1750668064"
"1","/settings","e967f7e7-ed0f-442f-9fbe-440647963682","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:05.5364515Z","rdhqAIkad7RSAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RSAQAAAAAAAA==/","""270025e0-0000-1600-0000-685915f10000""","attachments/","1750668785"
"2","Enabled: False","37876042-7fc5-4218-9e72-7a908508797d","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:09.5822293Z","rdhqAIkad7RTAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RTAQAAAAAAAA==/","""270037e0-0000-1600-0000-685915f50000""","attachments/","1750668789"
"2","Enabled: True","f96b10e1-2951-4e96-94f2-dc904457c6ed","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:10.6155528Z","rdhqAIkad7RUAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RUAQAAAAAAAA==/","""270038e0-0000-1600-0000-685915f60000""","attachments/","1750668790"
"1","/chat/c2da7601-37d0-4575-bdfb-1a513e4b934a","545012e4-0e68-4140-ab77-75047984fa56","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:21.7239077Z","rdhqAIkad7RVAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RVAQAAAAAAAA==/","""2700e3e0-0000-1600-0000-685916010000""","attachments/","1750668801"
"1","/chat","b4f3ba23-9cf2-493e-b814-8d440ccfc2a9","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:43.6747661Z","rdhqAIkad7RWAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RWAQAAAAAAAA==/","""27001de1-0000-1600-0000-685916170000""","attachments/","1750668823"
"1","/chat/766344d6-6f55-4b2d-83c7-39313b9555e6","f9ab79e2-afed-4115-935e-6cfa1b2ae927","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:50.5342391Z","rdhqAIkad7RXAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RXAQAAAAAAAA==/","""27002ae1-0000-1600-0000-6859161f0000""","attachments/","1750668831"
"1","/chat/c2da7601-37d0-4575-bdfb-1a513e4b934a","5cce8ca9-59b8-424d-9bcb-cea3330e8ef8","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:54:05.5805191Z","rdhqAIkad7RYAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RYAQAAAAAAAA==/","""270064e1-0000-1600-0000-6859162d0000""","attachments/","1750668845"
"1","/settings","075e7f79-0102-466d-a57f-c2020daffa14","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:54:20.4771821Z","rdhqAIkad7RZAQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7RZAQAAAAAAAA==/","""270081e1-0000-1600-0000-6859163c0000""","attachments/","1750668860"
